queue_id,priority,batch,scheduled_pt,local_tz,lead_id,client,service,est_value,channel_primary,channel_secondary,destination,template_id,personalization_hook,cta,expected_log_event,owner,status
2026-03-05-A01,P1,Batch-A,09:55,PT,auto-003,McCaw Property Management,Excel Automation,2000,sms,call,(817) 491-2553,SMS-AUTO-01,"Property management ops; likely rent-roll/reporting pain",Book a 15-min ops audit,response_or_call_back,john,queued
2026-03-05-A02,P1,Batch-A,09:58,PT,auto-004,Specialized Property Management Fort Worth,Excel Automation,2000,sms,call,(817) 886-9220,SMS-AUTO-01,"Fort Worth PM workflow + spreadsheet standardization",Book a 15-min ops audit,response_or_call_back,john,queued
2026-03-05-A03,P1,Batch-A,10:01,PT,auto-009,Jaxon Texas Property Management,Excel Automation,1500,sms,call,(915) 503-2308,SMS-AUTO-01,"El Paso PM ops likely dispatch + rent roll complexity",Book a 15-min ops audit,response_or_call_back,john,queued
2026-03-05-A04,P1,Batch-A,10:04,PT,auto-005,CentsIQ Bookkeeping,Excel Automation,1000,sms,call,(425) 465-8239,SMS-AUTO-01,"Bookkeeping workflow automation + recurring reports",Book a 15-min ops audit,response_or_call_back,john,queued
2026-03-05-A05,P1,Batch-A,10:07,PT,lead_auto_003,Protocol Property Management,Excel Automation - Rent Roll,800,sms,call,(425) 467-1436,SMS-AUTO-01,"Rent roll automation angle; Bellevue local",Book a 15-min ops audit,response_or_call_back,john,queued
2026-03-05-A06,P1,Batch-A,10:10,PT,lead_auto_010,North Pacific Property Management,Excel Automation - Rent Roll,700,sms,call,(206) 781-0186,SMS-AUTO-01,"Seattle PM with likely manual reporting burden",Book a 15-min ops audit,response_or_call_back,john,queued
2026-03-05-A07,P1,Batch-A,10:13,PT,lead_auto_001,MCS Construction,Excel Automation - Project Tracking,500,sms,call,(503) 233-7266,SMS-AUTO-01,"Project tracking + job-cost visibility",Book a 15-min ops audit,response_or_call_back,john,queued
2026-03-05-A08,P1,Batch-A,10:16,PT,sprint11-025,Dallas Tax and Books,Tax/bookkeeping reporting automation,900,sms,call,(214) 353-0654,SMS-AUTO-01,"Tax/bookkeeping report automation for owner visibility",Book a 15-min ops audit,response_or_call_back,john,queued
2026-03-05-B01,P1,Batch-B,11:05,PT,wa-google-002,PMC General Contractor,General Contractor,1200,sms,call,(425) 869-4000,SMS-NOSITE-01,"No-site GC lead with phone; lost inbound likely",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-B02,P1,Batch-B,11:08,PT,nosite-037,Regal Roofing & Contracting,Roofing/Contractor,1500,sms,call,(206) 784-2689,SMS-NOSITE-01,"Roofing lead value high; no-site visibility gap",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-B03,P1,Batch-B,11:11,PT,nosite-068,Quality Construction & Roofing,General Contractor/Roofing,1500,sms,call,(832) 282-6486,SMS-NOSITE-01,"Houston roofing + no-site gap",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-B04,P1,Batch-B,11:14,PT,wave4-044,Millennium Plumbing Specialist,Plumbing,700,sms,call,(916) 883-3337,SMS-NOSITE-01,"Plumbing high-intent vertical",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-B05,P1,Batch-B,11:17,PT,wave4-003,Northwest Plumbing of Tennessee,Plumbing,500,sms,call,(615) 460-9110,SMS-NOSITE-01,"Nashville plumber with direct phone",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-B06,P1,Batch-B,11:20,PT,wave4-013,Precision Plumbing,Plumbing,500,sms,call,(512) 288-6684,SMS-NOSITE-01,"Austin plumbing; no-site demand-gen gap",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-B07,P1,Batch-B,11:23,PT,wave5-070,Champion Plumbing,Water Heater Repair,575,sms,call,(210) 393-9617,SMS-NOSITE-01,"Water-heater niche + urgent service intent",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-B08,P1,Batch-B,11:26,PT,wave5-072,SOSA The Plumber,Plumbing,550,sms,call,(210) 779-9678,SMS-NOSITE-01,"San Antonio plumber; conversion-focused offer",Want a free one-page site preview?,reply_yes_or_call,john,queued
