"queue_date","batch","priority","send_window_pt","lead_id","client","location","phone","channel_primary","fallback","estimated_value","score","status","response_status","response_time_pt","owner","notes"
"2026-03-05","A","P1","09:00-10:00","nosite-037","Regal Roofing & Contracting","Seattle, WA 98113","(206) 784-2689","sms","call +120min if no reply","1500","1820","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Roofing contractor with 7 photos."
"2026-03-05","A","P1","09:00-10:00","nosite-068","Quality Construction & Roofing","Houston, TX 77041","(832) 282-6486","sms","call +120min if no reply","1500","1720","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Houston roofing and construction."
"2026-03-05","A","P1","09:00-10:00","nosite-033","A A Landscaping","Bothell, WA 98011","(206) 251-8199","sms","call +120min if no reply","800","1120","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Bothell area landscaping with phone number."
"2026-03-05","A","P1","09:00-10:00","nosite-109","San Diego Heating and Cooling","El Cajon, CA 92021","(619) 443-2665","sms","call +120min if no reply","900","1120","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. San Diego HVAC with phone."
"2026-03-05","A","P1","09:00-10:00","nosite-005","Envision Landscaping","Bellevue, WA 98007","(206) 679-8525","sms","call +120min if no reply","800","1120","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Bellevue area landscaping service."
"2026-03-05","A","P1","09:00-10:00","nosite-001","Perez Landscaping","Seattle, WA 98188","(206) 602-9766","sms","call +120min if no reply","800","1120","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Latino-owned landscaping business in SeaTac/Tukwila area."
"2026-03-05","A","P1","09:00-10:00","nosite-002","Ligaya Landscaping","Seattle, WA 98101","(206) 351-7402","sms","call +120min if no reply","800","1120","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Downtown Seattle location. 5.0 rating with 1 review."
"2026-03-05","A","P1","09:00-10:00","nosite-003","Greenscapes Landscaping","Seattle, WA 98146","(206) 802-8186","sms","call +120min if no reply","800","1120","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. West Seattle location at 10555 14th Ave SW."
"2026-03-05","B","P1","10:00-11:00","nosite-004","Northwest Landscape and Patio Bellevue","Bellevue, WA 98004","(425) 390-4959","sms","call +120min if no reply","800","1120","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Located at 227 Bellevue Way NE."
"2026-03-05","B","P1","10:00-11:00","nosite-053","RB Landscaping Service","Phoenix, AZ","(480) 540-8509","sms","call +120min if no reply","800","1020","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Landscape design services."
"2026-03-05","B","P1","10:00-11:00","nosite-101","Cedar Fencing Plus","Portland, OR 97201","(503) 244-6216","sms","call +120min if no reply","800","1020","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Portland fencing with phone."
"2026-03-05","B","P1","10:00-11:00","nosite-102","Austin's Custom Fencing","Portland, OR 97201","(503) 762-6010","sms","call +120min if no reply","800","1020","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Portland custom fencing."
"2026-03-05","B","P1","10:00-11:00","nosite-115","Ace Fencing","Las Vegas, NV 89101","(702) 568-8330","sms","call +120min if no reply","800","1020","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Las Vegas fencing with phone."
"2026-03-05","B","P1","10:00-11:00","nosite-052","CC Landscaping","Phoenix, AZ 85036","(623) 324-9775","sms","call +120min if no reply","800","1020","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Phoenix landscaping service."
"2026-03-05","B","P1","10:00-11:00","nosite-049","Valle Landscaping","Phoenix, AZ","(480) 806-9550","sms","call +120min if no reply","800","1020","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Phoenix area landscaping with phone."
"2026-03-05","B","P1","10:00-11:00","nosite-050","Valley Landscaping","Phoenix, AZ 85003","(623) 486-4922","sms","call +120min if no reply","800","1020","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Located at 12551 N 88th Ave."
"2026-03-05","C","P2","13:00-14:00","nosite-023","Handy-Den","Tacoma, WA","(253) 230-2928","sms","call +120min if no reply","600","920","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Professional handyman service with 9 photos."
"2026-03-05","C","P2","13:00-14:00","nosite-116","Bachman Lawn Care","Kansas City, MO 64155","(816) 550-8823","sms","call +120min if no reply","700","920","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Kansas City lawn care with phone."
"2026-03-05","C","P2","13:00-14:00","nosite-061","JV Pool Services","Dallas, TX 75228","(214) 929-4278","sms","call +120min if no reply","700","920","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Dallas pool service with phone."
"2026-03-05","C","P2","13:00-14:00","nosite-006","Home-Crafters-Handyman","Kirkland, WA","(206) 235-6574","sms","call +120min if no reply","600","920","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Kirkland-based handyman service."
"2026-03-05","C","P2","13:00-14:00","nosite-007","Half-Price Handyman","Kirkland, WA 98034","(425) 269-8545","sms","call +120min if no reply","600","920","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Value-priced handyman services."
"2026-03-05","C","P2","13:00-14:00","nosite-008","R & S Cleaning Services","Redmond, WA 98052","(425) 780-3018","sms","call +120min if no reply","500","820","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Home cleaning service in Redmond."
"2026-03-05","C","P2","13:00-14:00","nosite-055","Tony Handyman Survives","Phoenix, AZ 85001","(480) 740-7144","sms","call +120min if no reply","600","820","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Phoenix handyman with phone."
"2026-03-05","D","P3","16:30-17:30","nosite-056","Rick The Handyman","Phoenix, AZ 85018","(602) 200-4521","sms","call +120min if no reply","600","820","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Phoenix handyman service."
"2026-03-05","D","P3","16:30-17:30","nosite-057","Manny Handyman Svcs","Phoenix, AZ","(480) 450-8097","sms","call +120min if no reply","600","820","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Handyman services Phoenix."
"2026-03-05","D","P3","16:30-17:30","nosite-079","New Image Mobile Auto Detailing & Fueling","Atlanta, GA","(404) 341-9569","sms","call +120min if no reply","600","820","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Mobile auto detailing Atlanta."
"2026-03-05","D","P3","16:30-17:30","nosite-085","Bug Free Exterminating","Atlanta, GA 30303","(770) 920-2288","sms","call +120min if no reply","550","770","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Atlanta pest control."
"2026-03-05","D","P3","16:30-17:30","nosite-084","American Termite & Pest Elimination","Atlanta, GA 30303","(404) 874-5250","sms","call +120min if no reply","550","770","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Atlanta pest control with phone."
"2026-03-05","D","P3","16:30-17:30","nosite-087","Contact Pest Control","Atlanta, GA 30349","(770) 909-0444","sms","call +120min if no reply","550","770","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Located at 1651 Phoenix Blvd Ste 5."
"2026-03-05","D","P3","16:30-17:30","nosite-086","CRC Services Termite & Pest Control","Atlanta, GA 30303","(770) 973-7103","sms","call +120min if no reply","550","770","queued","","","john","NOSITE: Unclaimed Yelp listing - no website. Termite and pest control services."
