queue_id,batch,priority,lead_id,client,location,service,channel,send_time_pt,estimated_value,phone,email,personalization_hook,status,sent_at,message_id,delivery_status,response_status,response_at,response_summary,next_step,next_step_due_pt
Q260305-001,P1-HIGH-VALUE,1,nosite-037,Regal Roofing & Contracting,Seattle WA,Roofing/Contractor,sms,09:15,1500,+12067842689,,7 photos on Yelp - active visual marketing,pending,,,,,,fu1_24h_swap_channel,2026-03-06 09:15
Q260305-002,P1-HIGH-VALUE,1,gpass-pnw-208,Lobo Roofing LLC,Tacoma WA,Roofing,email,09:20,1200,+12536513106,info@tacomaroofs.com,24-hour service positioning - urgent lead capture,pending,,,,,,fu1_24h_swap_channel,2026-03-06 09:20
Q260305-003,P1-HIGH-VALUE,1,gpass-pnw-214,Forever Roofing,Seattle WA,Roofing,email,09:30,1200,+12062613683,info@foreverroofing.net,Seattle metro roofing market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 09:30
Q260305-004,P1-HIGH-VALUE,1,gpass-pnw-219,A Better Roofing Company,Seattle WA,Residential Roofing,email,09:40,1200,+12069351575,abr@abetterroofing.com,Residential focus - homeowner market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 09:40
Q260305-005,P1-HIGH-VALUE,1,gpass-pnw-220,Quality Pacific Roofing,Seattle WA,Residential Roofing,email,09:45,1200,+12062640955,Info@QualityPacificRoofing.com,Strong local site - verified contact page,pending,,,,,,fu1_24h_swap_channel,2026-03-06 09:45
Q260305-006,P1-HIGH-VALUE,1,gpass-pnw-210,Elite Metal Roofing LLC,Vancouver WA,Roofing,email,09:50,1200,+13604879090,Robert@elitemetalroofingllc.com,Metal roofing specialist - premium positioning,pending,,,,,,fu1_24h_swap_channel,2026-03-06 09:50
Q260305-007,P1-HIGH-VALUE,1,nosite-109,San Diego Heating and Cooling,San Diego CA,HVAC,sms,09:55,900,+16194432665,,San Diego HVAC market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 09:55
Q260305-008,P2-MEDIUM-VALUE,2,gpass-pnw-224,Greenscape Landscaping of Spokane,Spokane WA,Landscaping,email,10:00,850,+15094610525,contact@spokanegreenscape.com,Strong local site serves North Idaho too,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:00
Q260305-009,P2-MEDIUM-VALUE,2,gpass-pnw-213,Handyman Rescue Team,Seattle WA,Handyman/Remodeling,email,10:10,900,+12067363060,sos@handymanrescue.team,Clever branding (SOS email) - marketing savvy,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:10
Q260305-010,P2-MEDIUM-VALUE,2,nosite-068,Quality Construction & Roofing,Houston TX,General Contractor/Roofing,sms,10:15,1500,+18322826486,,Houston construction market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:15
